과목,번호,구분,질문,정답,키워드(빈칸),오답보기
"기능해부학",1,"PART 1 · 기초 해부학","해부학적 자세란?","똑바로 서서 눈은 정면, 팔은 몸통 옆, 손바닥은 앞을 향하고, 발은 모아 앞을 향한 자세","정면 / 앞 / 앞","측면 / 뒤 / 위"
"기능해부학",2,"PART 1 · 신체 면","시상면(Sagittal)이란?","신체를 좌우로 나누는 면 → 굴곡·신전 운동","좌우 / 굴곡 / 신전","상하 / 외전 / 내회전"
"기능해부학",3,"PART 1 · 신체 면","관상면(Frontal/Coronal)이란?","신체를 앞뒤로 나누는 면 → 외전·내전 운동","앞뒤 / 외전 / 내전","좌우 / 굴곡 / 외회전"
"기능해부학",4,"PART 1 · 신체 면","횡단면(Transverse)이란?","신체를 상하로 나누는 면 → 내회전·외회전 운동","상하 / 내회전 / 외회전","앞뒤 / 굴곡 / 외전"
"기능해부학",5,"PART 1 · 방향 용어","Medial / Lateral의 의미는?","내측(Medial) = 몸 중심에 가까운 / 외측(Lateral) = 몸 중심에서 먼","내측(Medial) / 외측(Lateral)","근위(Proximal) / 원위(Distal) / 전방(Anterior)"
"기능해부학",6,"PART 1 · 방향 용어","Proximal / Distal의 의미는?","근위(Proximal) = 몸통에 가까운 / 원위(Distal) = 몸통에서 먼","근위(Proximal) / 원위(Distal)","내측(Medial) / 외측(Lateral) / 후방(Posterior)"
"기능해부학",7,"PART 1 · 관절운동","굴곡(Flexion)과 신전(Extension)의 차이는?","굴곡 = 관절 각도 감소 / 신전 = 관절 각도 증가","감소 / 증가","고정 / 회전 / 분리"
"기능해부학",8,"PART 1 · 관절운동","외전(Abduction)과 내전(Adduction)의 차이는?","외전 = 몸 중심에서 멀어짐 / 내전 = 몸 중심으로 가까워짐","멀어짐 / 가까워짐","회전함 / 굽혀짐 / 펴짐"
"기능해부학",9,"PART 1 · 관절운동","배측굴곡(Dorsiflexion)과 족저굴곡(Plantarflexion)이란?","배측굴곡 = 발등 쪽 굽힘 / 족저굴곡 = 발바닥 쪽 굽힘","발등 / 발바닥","발가락 / 발뒤꿈치 / 복사뼈"
"기능해부학",10,"PART 1 · 관절 종류","경첩관절(Hinge joint)의 예시 3가지는?","무릎 / 팔꿈치 / 발목","무릎 / 팔꿈치 / 발목","견관절(어깨관절) / 고관절(엉덩관절) / 손목 / 척추"
"기능해부학",11,"PART 1 · 관절 종류","구상관절(Ball & Socket joint)의 예시는?","견관절(어깨관절) / 고관절(엉덩관절)","견관절(어깨관절) / 고관절(엉덩관절)","무릎 / 발목 / 팔꿈치 / 손목"
